# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 9K of event 'cycles:u'
# Event count (approx.): 29967404716
#
# Overhead  Symbol                               Shared Object                     IPC   [IPC Coverage]
# ........  ...................................  ................................  ....................
#
     0.01%  [.] 0x0000000072a357c0               [JIT] tid 45815                   -      -            
     0.01%  [.] 0x00000000744f56c0               [JIT] tid 45815                   -      -            
     0.01%  [.] 0x000000006fb00d20               [JIT] tid 45815                   -      -            
     0.01%  [.] 0x000000000020d352               libmali.so.1.10.0                 -      -            
     0.01%  [.] 0x000000006fb1e844               [JIT] tid 45815                   -      -            
     0.01%  [.] 0x000000000020d140               libmali.so.1.10.0                 -      -            
     0.01%  [.] 0x000000006fb16848               [JIT] tid 45815                   -      -            
     0.01%  [.] 0x000000000121b4c6               libmali.so.1.10.0                 -      -            
     0.01%  [.] 0x000000000132a9ee               libmali.so.1.10.0                 -      -            
     0.01%  [.] 0x0000000001226124               libmali.so.1.10.0                 -      -            
     0.01%  [.] 0x000000006fc14764               [JIT] tid 45815                   -      -            
     0.01%  [.] 0x00000000745da100               [JIT] tid 45815                   -      -            
     0.01%  [.] 0x00000000744f56d8               [JIT] tid 45815                   -      -            
     0.01%  [.] 0x00000000f754ad6c               [JIT] tid 45815                   -      -            
     0.01%  [.] 0x00000000011ef97e               libmali.so.1.10.0                 -      -            
     0.01%  [.] 0x000000006fb6d2d8               [JIT] tid 45815                   -      -            
     0.01%  [.] 0x0000000001204f00               libmali.so.1.10.0                 -      -            
     0.01%  [.] 0x00000000013115fa               libmali.so.1.10.0                 -      -            
     0.01%  [.] 0x00000000011ef52a               libmali.so.1.10.0                 -      -            
     0.01%  [.] 0x000000006e49ab80               [JIT] tid 45815                   -      -            
     0.01%  [.] 0x000000006fb28a40               [JIT] tid 45815                   -      -            
     0.01%  [.] 0x00000000001f1f32               libmali.so.1.10.0                 -      -            
     0.01%  [.] 0x0000000074612898               [JIT] tid 45815                   -      -            
     0.01%  [.] 0x0000000074522b50               [JIT] tid 45815                   -      -            
     0.01%  [.] 0x000000006fb1beac               [JIT] tid 45815                   -      -            
     0.01%  [.] 0x000000000023053c               libmali.so.1.10.0                 -      -            
     0.01%  [.] 0x000000007463fb64               [JIT] tid 45815                   -      -            
     0.01%  [.] 0x0000000072a53c00               [JIT] tid 45815                   -      -            
     0.01%  [.] 0x00000000744f5704               [JIT] tid 45815                   -      -            
     0.01%  [.] 0x000000006fb46600               [JIT] tid 45815                   -      -            
     0.01%  [.] 0x00000000001edf0a               libmali.so.1.10.0                 -      -            
     0.01%  [.] 0x0000000072a6c964               [JIT] tid 45815                   -      -            
     0.01%  [.] 0x00000000011e896e               libmali.so.1.10.0                 -      -            
     0.01%  [.] 0x0000000072921c80               [JIT] tid 45815                   -      -            
     0.01%  [.] 0x000000007461290c               [JIT] tid 45815                   -      -            
     0.01%  [.] 0x000000000120d90e               libmali.so.1.10.0                 -      -            
     0.01%  [.] 0x000000006fb1cfc0               [JIT] tid 45815                   -      -            
     0.01%  [.] 0x000000000023c866               libmali.so.1.10.0                 -      -            
     0.01%  [.] 0x0000000074691898               [JIT] tid 45815                   -      -            
     0.01%  [.] rb_set                           box86                             -      -            
     0.01%  [.] 0x00000000745dbab0               [JIT] tid 45815                   -      -            
     0.01%  [.] 0x00000000001ed268               libmali.so.1.10.0                 -      -            
     0.01%  [.] 0x000000006fc14930               [JIT] tid 45815                   -      -            
     0.01%  [.] 0x000000000021d738               libmali.so.1.10.0                 -      -            
     0.01%  [.] 0x0000000001326288               libmali.so.1.10.0                 -      -            
     0.01%  [.] 0x000000000021b740               libmali.so.1.10.0                 -      -            
     0.01%  [.] 0x00000000001ed250               libmali.so.1.10.0                 -      -            
     0.01%  [.] 0x00000000001f5dbc               libmali.so.1.10.0                 -      -            
     0.01%  [.] 0x00000000745229c0               [JIT] tid 45815                   -      -            
     0.01%  [.] 0x0000000001326660               libmali.so.1.10.0                 -      -            
     0.01%  [.] 0x000000006fb1af84               [JIT] tid 45815                   -      -            
     0.01%  [.] 0x000000006fb2c180               [JIT] tid 45815                   -      -            
     0.01%  [.] 0x00000000001ebbbe               libmali.so.1.10.0                 -      -            
     0.01%  [.] 0x0000000072a6c720               [JIT] tid 45815                   -      -            
     0.01%  [.] 0x000000006fb67418               [JIT] tid 45815                   -      -            
     0.01%  [.] 0x00000000744f5858               [JIT] tid 45815                   -      -            
     0.01%  [.] 0x000000000132f520               libmali.so.1.10.0                 -      -            
     0.01%  [.] 0x00000000745dbabc               [JIT] tid 45815                   -      -            
     0.01%  [.] 0x0000000074612910               [JIT] tid 45815                   -      -            
     0.01%  [.] glDisableVertexAttribArray       libmali.so.1.10.0                 -      -            
     0.01%  [.] 0x00000000744f5940               [JIT] tid 45815                   -      -            
     0.01%  [.] 0x000000000023cbc0               libmali.so.1.10.0                 -      -            
     0.01%  [.] 0x00000000745f6e34               [JIT] tid 45815                   -      -            
     0.01%  [.] 0x0000000072a93700               [JIT] tid 45815                   -      -            
     0.01%  [.] 0x000000006fb67890               [JIT] tid 45815                   -      -            
     0.01%  [.] 0x000000006fb23bc8               [JIT] tid 45815                   -      -            
     0.01%  [.] 0x000000006fb28f28               [JIT] tid 45815                   -      -            
     0.01%  [.] 0x000000000128bfe4               libmali.so.1.10.0                 -      -            
     0.01%  [.] 0x00000000001eab48               libmali.so.1.10.0                 -      -            
     0.01%  [.] 0x000000006fb1e750               [JIT] tid 45815                   -      -            
     0.01%  [.] 0x0000000001203b3c               libmali.so.1.10.0                 -      -            
     0.01%  [.] 0x000000007451c580               [JIT] tid 45815                   -      -            
     0.01%  [.] 0x000000000122679c               libmali.so.1.10.0                 -      -            
     0.01%  [.] 0x000000006fb1c5dc               [JIT] tid 45815                   -      -            
     0.01%  [.] 0x000000006fb1c600               [JIT] tid 45815                   -      -            
     0.01%  [.] 0x0000000001225ca0               libmali.so.1.10.0                 -      -            
     0.01%  [.] 0x00000000745e3b60               [JIT] tid 45815                   -      -            
     0.01%  [.] 0x000000000122735a               libmali.so.1.10.0                 -      -            
     0.01%  [.] 0x000000000120d402               libmali.so.1.10.0                 -      -            
     0.01%  [.] 0x000000006fb18154               [JIT] tid 45815                   -      -            
     0.01%  [.] 0x000000006fb1e770               [JIT] tid 45815                   -      -            
     0.01%  [.] 0x000000006fb0059c               [JIT] tid 45815                   -      -            
     0.01%  [.] 0x000000006fb16d5c               [JIT] tid 45815                   -      -            
     0.01%  [.] 0x0000000001227356               libmali.so.1.10.0                 -      -            
     0.01%  [.] 0x000000000120fcd6               libmali.so.1.10.0                 -      -            
     0.01%  [.] 0x000000006fb4a134               [JIT] tid 45815                   -      -            
     0.01%  [.] 0x0000000001201680               libmali.so.1.10.0                 -      -            
     0.01%  [.] 0x00000000011ee4c0               libmali.so.1.10.0                 -      -            
     0.01%  [.] 0x000000000120c7a2               libmali.so.1.10.0                 -      -            
     0.01%  [.] 0x000000006fb16018               [JIT] tid 45815                   -      -            
     0.01%  [.] 0x000000000050c308               libmali.so.1.10.0                 -      -            
     0.01%  [.] 0x000000000023063e               libmali.so.1.10.0                 -      -            
     0.01%  [.] 0x000000000148fafa               libmali.so.1.10.0                 -      -            
     0.01%  [.] 0x00000000001f1c22               libmali.so.1.10.0                 -      -            
     0.01%  [.] 0x00000000014f665c               libmali.so.1.10.0                 -      -            
     0.01%  [.] 0x000000000120ff80               libmali.so.1.10.0                 -      -            
     0.01%  [.] 0x000000000132fa4e               libmali.so.1.10.0                 -      -            
     0.01%  [.] 0x000000000131113c               libmali.so.1.10.0                 -      -            
     0.01%  [.] 0x00000000012256c8               libmali.so.1.10.0                 -      -            
     0.01%  [.] 0x000000000132f9c0               libmali.so.1.10.0                 -      -            
     0.01%  [.] 0x00000000011eeb4e               libmali.so.1.10.0                 -      -            
     0.01%  [.] 0x000000007461ee40               [JIT] tid 45815                   -      -            
     0.01%  [.] 0x000000006fb16d78               [JIT] tid 45815                   -      -            
     0.01%  [.] 0x000000000120ed70               libmali.so.1.10.0                 -      -            
     0.01%  [.] 0x000000000020e140               libmali.so.1.10.0                 -      -            
     0.01%  [.] 0x0000000074521aec               [JIT] tid 45815                   -      -            
     0.01%  [.] 0x000000007451c500               [JIT] tid 45815                   -      -            
     0.01%  [.] 0x00000000f754ae44               [JIT] tid 45815                   -      -            
     0.01%  [.] 0x000000007461592c               [JIT] tid 45815                   -      -            
     0.01%  [.] glUniform3fv                     libmali.so.1.10.0                 -      -            
     0.01%  [.] 0x00000000744d5198               [JIT] tid 45815                   -      -            
     0.01%  [.] 0x000000006fb1d1dc               [JIT] tid 45815                   -      -            
     0.01%  [.] 0x000000006fb1e8bc               [JIT] tid 45815                   -      -            
     0.01%  [.] 0x000000006fb16000               [JIT] tid 45815                   -      -            
     0.01%  [.] 0x000000006e4a39d4               [JIT] tid 45815                   -      -            
     0.01%  [.] 0x000000000148f1fe               libmali.so.1.10.0                 -      -            
     0.01%  [.] 0x00000000001f1ca6               libmali.so.1.10.0                 -      -            
     0.01%  [.] 0x000000006fb6a030               [JIT] tid 45815                   -      -            
     0.01%  [.] 0x0000000074522580               [JIT] tid 45815                   -      -            
     0.01%  [.] 0x000000006fb181b0               [JIT] tid 45815                   -      -            
     0.01%  [.] 0x000000000120fbfc               libmali.so.1.10.0                 -      -            
     0.01%  [.] 0x000000006fb66300               [JIT] tid 45815                   -      -            
     0.01%  [.] 0x000000006fb26c8c               [JIT] tid 45815                   -      -            
     0.01%  [.] 0x00000000001f5060               libmali.so.1.10.0                 -      -            
     0.01%  [.] 0x000000006fb6a118               [JIT] tid 45815                   -      -            
     0.01%  [.] 0x000000006fb15cc0               [JIT] tid 45815                   -      -            
     0.01%  [.] 0x000000006fb68500               [JIT] tid 45815                   -      -            
     0.01%  [.] 0x000000006fb180e8               [JIT] tid 45815                   -      -            
     0.01%  [.] 0x00000000002318f2               libmali.so.1.10.0                 -      -            
     0.01%  [.] 0x000000000120c78c               libmali.so.1.10.0                 -      -            
     0.01%  [.] 0x000000000120dfc8               libmali.so.1.10.0                 -      -            
     0.01%  [.] 0x00000000744d5150               [JIT] tid 45815                   -      -            
     0.01%  [.] 0x00000000013262a0               libmali.so.1.10.0                 -      -            
     0.01%  [.] 0x000000006fb1c5ac               [JIT] tid 45815                   -      -            
     0.01%  [.] 0x000000000131b140               libmali.so.1.10.0                 -      -            
     0.01%  [.] 0x00000000002aedf6               libmali.so.1.10.0                 -      -            
     0.01%  [.] 0x000000006fb16fe0               [JIT] tid 45815                   -      -            
     0.01%  [.] 0x000000006fb161e0               [JIT] tid 45815                   -      -            
     0.01%  [.] 0x0000000072921c08               [JIT] tid 45815                   -      -            
     0.01%  [.] 0x00000000f73cce24               [JIT] tid 45815                   -      -            
     0.01%  [.] 0x000000000120bcf0               libmali.so.1.10.0                 -      -            
     0.01%  [.] 0x00000000011ee540               libmali.so.1.10.0                 -      -            
     0.01%  [.] 0x000000006fb6a1b4               [JIT] tid 45815                   -      -            
     0.01%  [.] 0x000000000120a674               libmali.so.1.10.0                 -      -            
     0.01%  [.] 0x000000000132298a               libmali.so.1.10.0                 -      -            
     0.01%  [.] 0x00000000745da10c               [JIT] tid 45815                   -      -            
     0.01%  [.] 0x00000000f74134e8               [JIT] tid 45815                   -      -            
     0.01%  [.] 0x00000000001dfdd2               libmali.so.1.10.0                 -      -            
     0.01%  [.] 0x000000007463333c               [JIT] tid 45815                   -      -            
     0.01%  [.] 0x000000006fb158dc               [JIT] tid 45815                   -      -            
     0.01%  [.] 0x0000000074612e48               [JIT] tid 45815                   -      -            
     0.01%  [.] 0x000000006fb18104               [JIT] tid 45815                   -      -            
     0.01%  [.] 0x00000000745facdc               [JIT] tid 45815                   -      -            
     0.01%  [.] 0x000000006fb28590               [JIT] tid 45815                   -      -            
     0.01%  [.] 0x000000006fb66340               [JIT] tid 45815                   -      -            
     0.01%  [.] 0x000000006fb1aff0               [JIT] tid 45815                   -      -            
     0.01%  [.] 0x000000000021d6c0               libmali.so.1.10.0                 -      -            
     0.01%  [.] 0x000000006fc13ba0               [JIT] tid 45815                   -      -            
     0.01%  [.] 0x0000000001211d80               libmali.so.1.10.0                 -      -            
     0.01%  [.] 0x00000000011f6000               libmali.so.1.10.0                 -      -            
     0.01%  [.] 0x000000006e48f0c0               [JIT] tid 45815                   -      -            
     0.01%  [.] 0x000000006fb28e10               [JIT] tid 45815                   -      -            
     0.01%  [.] 0x000000006fb22dc0               [JIT] tid 45815                   -      -            
     0.01%  [.] 0x000000006fb171cc               [JIT] tid 45815                   -      -            
     0.01%  [.] 0x000000006fb22ec0               [JIT] tid 45815                   -      -            
     0.01%  [.] 0x00000000011ea65c               libmali.so.1.10.0                 -      -            
     0.01%  [.] 0x000000000145587a               libmali.so.1.10.0                 -      -            
     0.01%  [.] 0x00000000012264e4               libmali.so.1.10.0                 -      -            
     0.01%  [.] 0x000000006e4a31bc               [JIT] tid 45815                   -      -            
     0.01%  [.] 0x00000000001b38fe               libmali.so.1.10.0                 -      -            
     0.01%  [.] 0x0000000074518cdc               [JIT] tid 45815                   -      -            
     0.01%  [.] 0x000000000132f3da               libmali.so.1.10.0                 -      -            
     0.01%  [.] 0x000000006fb2a4c0               [JIT] tid 45815                   -      -            
     0.01%  [.] 0x000000006fc6c274               [JIT] tid 45815                   -      -            
     0.01%  [.] 0x000000000120ecee               libmali.so.1.10.0                 -      -            
     0.01%  [.] 0x000000006fb17938               [JIT] tid 45815                   -      -            
     0.01%  [.] 0x000000006fb46ad8               [JIT] tid 45815                   -      -            
     0.01%  [.] 0x00000000744b4fc0               [JIT] tid 45815                   -      -            
     0.01%  [.] 0x00000000744f5760               [JIT] tid 45815                   -      -            
     0.01%  [.] 0x000000006fb17af0               [JIT] tid 45815                   -      -            
     0.01%  [.] 0x000000006fb27600               [JIT] tid 45815                   -      -            
     0.01%  [.] 0x000000006fb1ea10               [JIT] tid 45815                   -      -            
     0.01%  [.] 0x000000007461f18c               [JIT] tid 45815                   -      -            
     0.01%  [.] 0x00000000011e86e4               libmali.so.1.10.0                 -      -            
     0.01%  [.] 0x000000006fb19394               [JIT] tid 45815                   -      -            
     0.01%  [.] dup@plt                          libmali.so.1.10.0                 -      -            
     0.01%  [.] 0x000000006fb28da0               [JIT] tid 45815                   -      -            
     0.01%  [.] 0x00000000001efe02               libmali.so.1.10.0                 -      -            
     0.01%  [.] 0x00000000f7413210               [JIT] tid 45815                   -      -            
     0.01%  [.] 0x000000006fb69ecc               [JIT] tid 45815                   -      -            
     0.01%  [.] 0x000000006fb68400               [JIT] tid 45815                   -      -            
     0.01%  [.] 0x00000000011fc900               libmali.so.1.10.0                 -      -            
     0.01%  [.] 0x000000000130ff20               libmali.so.1.10.0                 -      -            
     0.01%  [.] 0x000000006fb6a0d4               [JIT] tid 45815                   -      -            
     0.01%  [.] 0x000000006fb1d030               [JIT] tid 45815                   -      -            
     0.01%  [.] 0x000000006fb17af8               [JIT] tid 45815                   -      -            
     0.01%  [.] 0x0000000001329758               libmali.so.1.10.0                 -      -            
     0.01%  [.] 0x000000006fb6a03c               [JIT] tid 45815                   -      -            
     0.01%  [.] 0x00000000011ed344               libmali.so.1.10.0                 -      -            
     0.01%  [.] vFffff                           box86                             -      -            
     0.01%  [.] 0x000000006fb18110               [JIT] tid 45815                   -      -            
     0.01%  [.] 0x0000000074521cf4               [JIT] tid 45815                   -      -            
     0.01%  [.] 0x000000006fc13860               [JIT] tid 45815                   -      -            
     0.01%  [.] 0x000000006fb16858               [JIT] tid 45815                   -      -            
     0.01%  [.] 0x0000000001226280               libmali.so.1.10.0                 -      -            
     0.01%  [.] 0x000000006fb16f58               [JIT] tid 45815                   -      -            
     0.01%  [.] 0x0000000001227396               libmali.so.1.10.0                 -      -            
     0.01%  [.] 0x0000000001310ee6               libmali.so.1.10.0                 -      -            
     0.01%  [.] 0x00000000012274fa               libmali.so.1.10.0                 -      -            
     0.01%  [.] 0x00000000f7413280               [JIT] tid 45815                   -      -            
     0.01%  [.] 0x00000000001b1c80               libmali.so.1.10.0                 -      -            
     0.01%  [.] 0x00000000001f1f24               libmali.so.1.10.0                 -      -            
     0.01%  [.] 0x000000006fb172f0               [JIT] tid 45815                   -      -            
     0.01%  [.] 0x000000000120b8e0               libmali.so.1.10.0                 -      -            
     0.01%  [.] 0x0000000001200202               libmali.so.1.10.0                 -      -            
     0.01%  [.] 0x000000006fb69e5c               [JIT] tid 45815                   -      -            
     0.01%  [.] 0x00000000005046e4               libmali.so.1.10.0                 -      -            
     0.01%  [.] 0x0000000072a6dbc0               [JIT] tid 45815                   -      -            
     0.01%  [.] 0x000000000020e1e0               libmali.so.1.10.0                 -      -            
     0.01%  [.] 0x0000000074612818               [JIT] tid 45815                   -      -            
     0.01%  [.] 0x000000006fb1b6c0               [JIT] tid 45815                   -      -            
     0.01%  [.] 0x000000006fb2f940               [JIT] tid 45815                   -      -            
     0.01%  [.] 0x0000000074612534               [JIT] tid 45815                   -      -            
     0.01%  [.] 0x0000000000230f16               libmali.so.1.10.0                 -      -            
     0.01%  [.] 0x00000000745da8f0               [JIT] tid 45815                   -      -            
     0.01%  [.] 0x000000007461ef00               [JIT] tid 45815                   -      -            
     0.01%  [.] 0x000000006fb1e47c               [JIT] tid 45815                   -      -            
     0.01%  [.] 0x0000000072aa4a00               [JIT] tid 45815                   -      -            
     0.01%  [.] 0x000000006e4a74a0               [JIT] tid 45815                   -      -            
     0.01%  [.] 0x000000006fb007d8               [JIT] tid 45815                   -      -            
     0.01%  [.] 0x000000006fb1a68c               [JIT] tid 45815                   -      -            
     0.01%  [.] 0x000000006fc13e40               [JIT] tid 45815                   -      -            
     0.01%  [.] 0x00000000f74134dc               [JIT] tid 45815                   -      -            
     0.01%  [.] 0x000000006fb684c4               [JIT] tid 45815                   -      -            
     0.01%  [.] 0x000000000021d780               libmali.so.1.10.0                 -      -            
     0.01%  [.] 0x000000006fb28294               [JIT] tid 45815                   -      -            
     0.01%  [.] 0x00000000011eafe6               libmali.so.1.10.0                 -      -            
     0.01%  [.] 0x00000000f754ad98               [JIT] tid 45815                   -      -            
     0.01%  [.] 0x000000000009c108               libc.so.6                         -      -            
     0.01%  [.] 0x000000000121b002               libmali.so.1.10.0                 -      -            
     0.01%  [.] 0x00000000011feebe               libmali.so.1.10.0                 -      -            
     0.01%  [.] iFEpp                            box86                             -      -            
     0.01%  [.] 0x0000000074612960               [JIT] tid 45815                   -      -            
     0.01%  [.] 0x00000000011f4ce4               libmali.so.1.10.0                 -      -            
     0.01%  [.] 0x000000007461c4fc               [JIT] tid 45815                   -      -            
     0.01%  [.] 0x00000000011f6aa2               libmali.so.1.10.0                 -      -            
     0.01%  [.] 0x00000000001b232e               libmali.so.1.10.0                 -      -            
     0.01%  [.] 0x00000000001f1f0a               libmali.so.1.10.0                 -      -            
     0.01%  [.] 0x000000000148f3e8               libmali.so.1.10.0                 -      -            
     0.01%  [.] 0x0000000001225980               libmali.so.1.10.0                 -      -            
     0.01%  [.] 0x000000000129051c               libmali.so.1.10.0                 -      -            
     0.01%  [.] 0x000000006fb28ea8               [JIT] tid 45815                   -      -            
     0.01%  [.] 0x000000007eed6c10               [JIT] tid 45815                   -      -            
     0.01%  [.] 0x000000006fb1ae20               [JIT] tid 45815                   -      -            
     0.01%  [.] 0x000000006fb00608               [JIT] tid 45815                   -      -            
     0.01%  [.] 0x0000000001227446               libmali.so.1.10.0                 -      -            
     0.01%  [.] 0x000000000120b258               libmali.so.1.10.0                 -      -            
     0.01%  [.] 0x00000000001f5d7e               libmali.so.1.10.0                 -      -            
     0.01%  [.] 0x00000000728fe880               [JIT] tid 45815                   -      -            
     0.01%  [.] 0x00000000011fdca8               libmali.so.1.10.0                 -      -            
     0.01%  [.] 0x00000000012262e4               libmali.so.1.10.0                 -      -            
     0.01%  [.] 0x00000000011f4bce               libmali.so.1.10.0                 -      -            
     0.01%  [.] 0x0000000072a6e464               [JIT] tid 45815                   -      -            
     0.01%  [.] 0x000000006fb15bf8               [JIT] tid 45815                   -      -            
     0.01%  [.] 0x0000000001225c8e               libmali.so.1.10.0                 -      -            
     0.01%  [.] 0x0000000000227efe               libmali.so.1.10.0                 -      -            
     0.01%  [.] 0x00000000744f5714               [JIT] tid 45815                   -      -            
     0.01%  [.] 0x000000000130fc1a               libmali.so.1.10.0                 -      -            
     0.01%  [.] 0x00000000011ea6be               libmali.so.1.10.0                 -      -            
     0.01%  [.] 0x00000000011f5e80               libmali.so.1.10.0                 -      -            
     0.01%  [.] 0x00000000011ed008               libmali.so.1.10.0                 -      -            
     0.01%  [.] 0x00000000001f1d32               libmali.so.1.10.0                 -      -            
     0.01%  [.] 0x00000000001e97d6               libmali.so.1.10.0                 -      -            
     0.01%  [.] 0x000000006fb2f828               [JIT] tid 45815                   -      -            
     0.01%  [.] 0x000000007451d200               [JIT] tid 45815                   -      -            
     0.01%  [.] 0x00000000011fcc60               libmali.so.1.10.0                 -      -            
     0.01%  [.] 0x00000000745db360               [JIT] tid 45815                   -      -            
     0.01%  [.] 0x00000000001eb97e               libmali.so.1.10.0                 -      -            
     0.01%  [.] 0x00000000001f5e9a               libmali.so.1.10.0                 -      -            
     0.01%  [.] 0x00000000001eed46               libmali.so.1.10.0                 -      -            
     0.01%  [.] 0x0000000072a6e37c               [JIT] tid 45815                   -      -            
     0.01%  [.] 0x00000000011f1ede               libmali.so.1.10.0                 -      -            
     0.01%  [.] 0x00000000745f6ee8               [JIT] tid 45815                   -      -            
     0.01%  [.] 0x000000000121b334               libmali.so.1.10.0                 -      -            
     0.01%  [.] 0x000000006fb6e8d0               [JIT] tid 45815                   -      -            
     0.01%  [.] 0x000000006fb1ba24               [JIT] tid 45815                   -      -            
     0.01%  [.] 0x000000006fb18160               [JIT] tid 45815                   -      -            
     0.01%  [.] 0x00000000745f6e44               [JIT] tid 45815                   -      -            
     0.01%  [.] 0x0000000072a6cb98               [JIT] tid 45815                   -      -            
     0.01%  [.] 0x00000000011e82ac               libmali.so.1.10.0                 -      -            
     0.01%  [.] 0x00000000014f674c               libmali.so.1.10.0                 -      -            
     0.01%  [.] 0x000000006fb19ed0               [JIT] tid 45815                   -      -            
     0.01%  [.] 0x000000006fb16928               [JIT] tid 45815                   -      -            
     0.01%  [.] 0x000000000009bbf4               libc.so.6                         -      -            
     0.01%  [.] 0x0000000072a6cc00               [JIT] tid 45815                   -      -            
     0.01%  [.] 0x0000000074522b3c               [JIT] tid 45815                   -      -            
     0.01%  [.] 0x00000000011f607e               libmali.so.1.10.0                 -      -            
     0.01%  [.] 0x0000000001310d60               libmali.so.1.10.0                 -      -            
     0.01%  [.] 0x000000007eed4208               [JIT] tid 45815                   -      -            
     0.01%  [.] 0x000000006fb1c588               [JIT] tid 45815                   -      -            
     0.01%  [.] 0x000000006fb2f8c0               [JIT] tid 45815                   -      -            
     0.01%  [.] 0x00000000745da444               [JIT] tid 45815                   -      -            
     0.01%  [.] 0x00000000001df19a               libmali.so.1.10.0                 -      -            
     0.01%  [.] 0x000000006fb1e840               [JIT] tid 45815                   -      -            
     0.01%  [.] 0x0000000001225328               libmali.so.1.10.0                 -      -            
     0.01%  [.] 0x000000000120b132               libmali.so.1.10.0                 -      -            
     0.01%  [.] 0x0000000072a6ddb0               [JIT] tid 45815                   -      -            
     0.01%  [.] 0x000000006fb26200               [JIT] tid 45815                   -      -            
     0.01%  [.] 0x00000000002307fe               libmali.so.1.10.0                 -      -            
     0.01%  [.] 0x000000000121b3ee               libmali.so.1.10.0                 -      -            
     0.01%  [.] 0x00000000012027ca               libmali.so.1.10.0                 -      -            
     0.01%  [.] 0x000000000120fa8a               libmali.so.1.10.0                 -      -            
     0.01%  [.] 0x000000006fb67e4c               [JIT] tid 45815                   -      -            
     0.01%  [.] 0x00000000014f5e50               libmali.so.1.10.0                 -      -            
     0.01%  [.] 0x0000000074521dd0               [JIT] tid 45815                   -      -            
     0.01%  [.] 0x000000000120bd22               libmali.so.1.10.0                 -      -            
     0.01%  [.] 0x00000000745f6c10               [JIT] tid 45815                   -      -            
     0.01%  [.] 0x000000006fb28378               [JIT] tid 45815                   -      -            
     0.01%  [.] 0x00000000f73cd358               [JIT] tid 45815                   -      -            
     0.01%  [.] 0x00000000001ed300               libmali.so.1.10.0                 -      -            
     0.01%  [.] 0x000000006fb1c5c0               [JIT] tid 45815                   -      -            
     0.01%  [.] 0x000000006e460b00               [JIT] tid 45815                   -      -            
     0.01%  [.] 0x000000006fb16060               [JIT] tid 45815                   -      -            
     0.01%  [.] 0x000000006fb1951c               [JIT] tid 45815                   -      -            
     0.01%  [.] 0x0000000074608c28               [JIT] tid 45815                   -      -            
     0.01%  [.] 0x00000000001e97a2               libmali.so.1.10.0                 -      -            
     0.01%  [.] 0x000000006fb175b0               [JIT] tid 45815                   -      -            
     0.01%  [.] getenv@plt                       libmali.so.1.10.0                 -      -            
     0.01%  [.] 0x0000000001227300               libmali.so.1.10.0                 -      -            
     0.01%  [.] 0x00000000001f5e72               libmali.so.1.10.0                 -      -            
     0.01%  [.] 0x000000006fb19f40               [JIT] tid 45815                   -      -            
     0.01%  [.] 0x000000000009cb40               libc.so.6                         -      -            
     0.01%  [.] 0x000000006fb6a540               [JIT] tid 45815                   -      -            
     0.01%  [.] 0x000000006fb6dc40               [JIT] tid 45815                   -      -            
     0.01%  [.] 0x0000000072a958d0               [JIT] tid 45815                   -      -            
     0.01%  [.] 0x000000006fb67ee0               [JIT] tid 45815                   -      -            
     0.01%  [.] 0x000000000120c500               libmali.so.1.10.0                 -      -            
     0.01%  [.] 0x000000000021b684               libmali.so.1.10.0                 -      -            
     0.01%  [.] 0x000000006fb6a4f8               [JIT] tid 45815                   -      -            
     0.01%  [.] 0x0000000001311824               libmali.so.1.10.0                 -      -            
     0.01%  [.] 0x000000000009c174               libc.so.6                         -      -            
     0.01%  [.] 0x000000000128c630               libmali.so.1.10.0                 -      -            
     0.01%  [.] memcmp                           libc.so.6                         -      -            
     0.01%  [.] glUseProgram                     libmali.so.1.10.0                 -      -            
     0.01%  [.] 0x00000000011f5158               libmali.so.1.10.0                 -      -            
     0.01%  [.] 0x00000000001eff36               libmali.so.1.10.0                 -      -            
     0.01%  [.] 0x0000000000504d04               libmali.so.1.10.0                 -      -            
     0.01%  [.] 0x000000007463f540               [JIT] tid 45815                   -      -            
     0.01%  [.] 0x0000000001311c88               libmali.so.1.10.0                 -      -            
     0.01%  [.] 0x00000000013115c2               libmali.so.1.10.0                 -      -            
     0.01%  [.] 0x000000000009c450               libc.so.6                         -      -            
     0.01%  [.] 0x0000000072921d34               [JIT] tid 45815                   -      -            
     0.01%  [.] 0x000000000132b882               libmali.so.1.10.0                 -      -            
     0.01%  [.] 0x000000006fb6e92c               [JIT] tid 45815                   -      -            
     0.01%  [.] 0x00000000f7413fdc               [JIT] tid 45815                   -      -            
     0.01%  [.] 0x000000006fb17af4               [JIT] tid 45815                   -      -            
     0.01%  [.] 0x000000007451c484               [JIT] tid 45815                   -      -            
     0.01%  [.] 0x00000000f7504dc0               [JIT] tid 45815                   -      -            
     0.01%  [.] 0x000000006fb1b0b0               [JIT] tid 45815                   -      -            
     0.01%  [.] 0x000000007468cb80               [JIT] tid 45815                   -      -            
     0.01%  [.] glActiveTexture                  libmali.so.1.10.0                 -      -            
     0.01%  [.] 0x00000000011f4a00               libmali.so.1.10.0                 -      -            
     0.01%  [.] 0x000000000022800e               libmali.so.1.10.0                 -      -            
     0.01%  [.] 0x000000006fb69e8c               [JIT] tid 45815                   -      -            
     0.01%  [.] 0x000000000120cb48               libmali.so.1.10.0                 -      -            
     0.01%  [.] 0x00000000001ed33a               libmali.so.1.10.0                 -      -            
     0.01%  [.] 0x000000000005efcc               libc.so.6                         -      -            
